countycode,state,amount_1990s,amount_2000s,amount_2010s
17155,IL,76688.33,155955.19,651088.1900000001
17157,IL,2232286.6,117273.65999999999,272167.79000000004
17159,IL,171849.78,0,0
17161,IL,3923198.44,7487857.89,6487534.33
17163,IL,2242664.51,622641.64,1100166.25
17165,IL,0,28301.48,373288.22
17167,IL,937975.98,966694.18,1183456.62
17169,IL,107963.14,0,76272.63
17171,IL,84455.85,24567.739999999998,55973.18
17173,IL,23040.45,41144.81,0
17175,IL,0,0,0
17177,IL,255043.69999999998,52150.4,2596097.1
17179,IL,231505.03,74471.08,464957.57
17181,IL,46372.1,195790.56,39083.94
17183,IL,632523.86,627690.81,945336.7799999999
17185,IL,25086.44,0,0
17187,IL,20000,44560.770000000004,16874.43
17189,IL,0,0,51240.23
17191,IL,9860.29,6865.44,49731.23
17193,IL,77947.89,233961.22000000003,916216.6399999999
17195,IL,630965.6,896647.54,467182.26
17197,IL,7592395.33,3353317.19,4143809.43
17199,IL,860851.39,458211.17,359711.95
17201,IL,889946.65,18402125.11,5446736.9799999995
17203,IL,138329.44,581899.03,2290425.05
18001,IN,11943.42,1134535.38,112397.43000000001
18003,IN,1054637.4400000002,5072953.74,4687271.13
18005,IN,598472.7000000001,12550944.49,434885.06
18009,IN,1516.19,0,0
18011,IN,40633.149999999994,6880.91,593540.99
18013,IN,120886.22,2139476.07,2077864.43
18015,IN,292274.87,12280242.49,4211632.33
18017,IN,34593.37,462799.7,339992.34
18019,IN,4817314.26,1722664.5899999999,5990119.05
18021,IN,0,327645.17,139135.71
18023,IN,1872.05,103634,257714.21
18025,IN,853577.2200000001,478881.75999999995,658157.5
18027,IN,1772.01,77209.61,0
