countycode,yearofloss,state,amount_paid
01125,1984,AL,3049.6099999999997
01125,1985,AL,4414.23
01125,1987,AL,0
01125,1988,AL,0
01125,1990,AL,59470.19
01125,1991,AL,10950.34
01125,1992,AL,0
01125,1995,AL,4091.8999999999996
01125,1996,AL,8300
01125,1997,AL,0
01125,1998,AL,88561.51
01125,1999,AL,2885.63
01125,2000,AL,73886.02
01125,2002,AL,1717.19
01125,2003,AL,516665.60000000003
01125,2004,AL,65171.11
01125,2005,AL,15006.81
01125,2006,AL,14303.7
01125,2007,AL,0
01125,2008,AL,17214.66
01125,2009,AL,9495.33
01125,2010,AL,158856.45
01125,2011,AL,301.99
01125,2012,AL,16019.82
01125,2013,AL,0
01125,2014,AL,296099.77
01125,2015,AL,30143.1
01125,2016,AL,0
01125,2017,AL,119303.62999999999
01125,2018,AL,3692.36
01125,2019,AL,53833.41
01127,1980,AL,3500
01127,1981,AL,382.34
01127,1983,AL,17355.86
01127,1990,AL,45677.04
01127,1991,AL,6711.3
01127,1994,AL,1306.62
01127,2001,AL,2038.39
01127,2003,AL,3534
01127,2004,AL,580
01127,2009,AL,215660.09
01127,2010,AL,0
01127,2011,AL,22337.329999999998
01127,2015,AL,137487.54
01127,2018,AL,83652.95
01127,2019,AL,0
01129,1979,AL,38091.55
01129,1980,AL,7099.63
