state,yearofloss,amount_paid,cum_paid
SC,1983,494211.44,2593660.47
SD,1983,40281.59,452070.95
TN,1983,532476.54,5624213.67
TX,1983,158376163.38000003,492500864.64000005
UT,1983,2027055.27,2432451.59
VA,1983,173576.1,9462468.75
VI,1983,744308.07,1782957.22
VT,1983,163909.07,661945.38
WA,1983,821490.3099999999,9384371.13
WI,1983,111011.86,1675775.99
WV,1983,51050.88,15979514.32
WY,1983,61653.4,288165.22000000003
AK,1984,25014.93,153082.36
AL,1984,203759.28,75436824.68
AR,1984,2348127.56,9334937.91
AZ,1984,420796.71,13084108.82
CA,1984,631008.9,66528262.06
CO,1984,463234.29,2916966.65
CT,1984,4958102.35,27379419.24
DC,1984,10804.17,180716.01
DE,1984,260397.21,1125421.45
FL,1984,4433729.66,40791714.82
GA,1984,306558.67,7201222.71
HI,1984,238702.58000000002,6315974.100000001
IA,1984,454175.44,2147594.03
ID,1984,85871.76,493482.3
IL,1984,1058627.49,46460703.47
IN,1984,52780.63,10188604.76
KS,1984,1078933.02,8965006.79
KY,1984,32378645.740000002,45821928.440000005
LA,1984,9436895.17,354168863.91
MA,1984,1344572.3,32831640.630000003
MD,1984,2939596.19,13400332.99
ME,1984,159655.56,4852361.96
MI,1984,275507.09,6146893.47
MN,1984,1335176.81,13963666.9
MO,1984,5961069.27,77690603.84
MS,1984,3459256.52,92761520.34
MT,1984,95,1816512.3499999999
NC,1984,1136275.38,9169416.44
ND,1984,112493.08,8574209.459999999
NE,1984,6112977.97,8931052.45
NH,1984,382528.58999999997,1954106.6700000002
NJ,1984,57708241.8,87854120.11
NM,1984,69483.42,353066.38
NV,1984,586012.57,1252620.45
NY,1984,11952658.9,86475960.72
OH,1984,599726.12,22107473.09
OK,1984,33754609.1,38432788.4
OR,1984,576485.23,2461869.08
PA,1984,11043485.81,48412384.93
PR,1984,422641.83,15708855.950000001
RI,1984,544157.25,7002920.359999999
SC,1984,223066.29,2816726.7600000002
SD,1984,376179.77,828250.72
TN,1984,2843131.92,8467345.59
TX,1984,24420044.110000003,516920908.75000006
UT,1984,1490866.26,3923317.85
VA,1984,2020586.31,11483055.06
VI,1984,344603.08999999997,2127560.31
VT,1984,251238.80000000002,913184.18
WA,1984,338995.01,9723366.14
WI,1984,35092.23,1710868.22
WV,1984,22907786.93,38887301.25
WY,1984,79933.04,368098.26
AK,1985,114995.27,268077.63
AL,1985,3324301.5799999996,78761126.26
AR,1985,167470.67,9502408.58
AZ,1985,23507.76,13107616.58
CA,1985,156942.29,66685204.35
CO,1985,172097.59,3089064.2399999998
CT,1985,4925998.99,32305418.23
DC,1985,74885.13,255601.14
DE,1985,608242.1499999999,1733663.5999999999
FL,1985,88229782,129021496.82000001
GA,1985,791562.74,7992785.45
HI,1985,255895.71,6571869.8100000005
IA,1985,97840.28,2245434.31
ID,1985,7148.62,500630.92
IL,1985,8742591.09,55203294.56
IN,1985,2317299.5,12505904.26
KS,1985,669893.4299999999,9634900.219999999
KY,1985,221932.03,46043860.47
LA,1985,94959272.16,449128136.07
MA,1985,1340961.82,34172602.45
MD,1985,5815837.73,19216170.720000003
ME,1985,6200.870000000001,4858562.83
MI,1985,7230705.44,13377598.91
MN,1985,595138.41,14558805.31
MO,1985,7107227.01,84797830.85
MS,1985,4139732.79,96901253.13
MT,1985,29109.56,1845621.91
NC,1985,2336267.71,11505684.15
ND,1985,1137.53,8575346.99
NE,1985,205983.38,9137035.83
NH,1985,32572.71,1986679.3800000001
NJ,1985,18430839.77,106284959.88
NM,1985,12978.13,366044.51
NV,1985,77144.90999999999,1329765.3599999999
NY,1985,15713322.06,102189282.78
OH,1985,4573999.11,26681472.2
OK,1985,1867805.17,40300593.57
OR,1985,107624.72,2569493.8
PA,1985,6950353.37,55362738.3
PR,1985,8475220.16,24184076.11
RI,1985,300248.92,7303169.279999999
SC,1985,240745.54,3057472.3000000003
SD,1985,445.4,828696.12
TN,1985,99532.86,8566878.45
TX,1985,9995803.59,526916712.34000003
UT,1985,33650.55,3956968.4
VA,1985,40497922.62,51980977.68
VI,1985,17627.77,2145188.08
VT,1985,46040.14,959224.3200000001
WA,1985,17400.73,9740766.870000001
WI,1985,268033.41,1978901.63
WV,1985,25449641.27,64336942.519999996
WY,1985,612632.34,980730.6
NA,1985,0,0
AK,1986,130152.94,398230.57
AL,1986,17091.3,78778217.56
AR,1986,717803.65,10220212.23
AZ,1986,267947.41,13375563.99
CA,1986,36058288.13,102743492.48
CO,1986,13069.34,3102133.58
CT,1986,96715.07,32402133.3
DC,1986,258278.74,513879.88
DE,1986,12273.16,1745936.7599999998
FL,1986,1930435.95,130951932.77
GA,1986,254161.25,8246946.7
HI,1986,1228422.5899999999,7800292.4
IA,1986,715403.77,2960838.08
ID,1986,12425,513055.92
IL,1986,8203638.359999999,63406932.92
IN,1986,96848.76,12602753.02
KS,1986,2505503.49,12140403.709999999
KY,1986,163393.41,46207253.88
LA,1986,1900957.3,451029093.37
MA,1986,44542.85,34217145.300000004
MD,1986,29485.07,19245655.790000003
ME,1986,176068.91,5034631.74
MI,1986,7915625.34,21293224.25
MN,1986,1202413.6300000001,15761218.940000001
MO,1986,20298876.540000003,105096707.39
MS,1986,286200.75,97187453.88
MT,1986,150096.72,1995718.63
NC,1986,943345.97,12449030.12
ND,1986,21909.559999999998,8597256.549999999
NE,1986,154660.82,9291696.65
NH,1986,205252.04,2191931.42
NJ,1986,1125534.92,107410494.8
NM,1986,10382.44,376426.95
NV,1986,591072.46,1920837.8199999998
NY,1986,3472661.61,105661944.39
OH,1986,537549.0800000001,27219021.28
OK,1986,14641471.76,54942065.33
OR,1986,116324.87,2685818.67
PA,1986,2891337.92,58254076.22
PR,1986,3045089.23,27229165.34
RI,1986,262654.53,7565823.81
